index,Month,Day,Year,Ship Name,Ship Type,Tonnage,Latitiude,Longitude,Assessment,Original Location,Month Index
244,1,2,1944,ISSHIN MARU,Tanker,10000,29.5,128.8333333,Sunk,"29-30N, 128-50E",26
245,9,11,1944,HAKUUN MARU NO 2,Cargo,860,27.61666667,140.35,Sunk,"27-37N, 140-21E",34
246,9,11,1944,HASSHO MARU,Cargo,536,27.61666667,140.35,Sunk,"27-37N, 140-21E",34
247,12,16,1944,JUSAN MARU,Cargo,2111,27.58333333,141.5833333,Sunk,"27-35N, 141-35E",37
248,1,18,1944,YOSHIDA MARU,Ex-Gunboat,2900,23.83333333,151.4666667,Sunk,"23-50N, 151-28E",26
249,2,5,1944,TAISHIN MARU,Cargo,1723,13.15,120.4,Sunk,"13-09N, 120-24E",27
250,2,14,1944,MINRYO MARU,Cargo,2193,13.73333333,120.6666667,Sunk,"13-44N, 120-40E",27
251,2,14,1944,KOHUAN MARU,Cargo,3712,13.66666667,120.45,Sunk,"13-40N, 120-27E",27
252,4,29,1944,TAHURE,River Gunboat,644,13.03333333,109.4666667,Sunk,"13-02N, 109-28E",29
253,4,29,1944,SONG GIANG MARU,Cargo,1065,13.03333333,109.4666667,Sunk,"13-02N, 109-28E",29
254,5,3,1944,TEIESEN MARU,Cargo,5050,12.9,114.1166667,Sunk,"12-54N, 114-07E",30
255,6,29,1944,NIPPO MARU,Cargo,6079,0.716666667,105.5166667,Sunk,"00-43N, 105-31E",31
256,7,7,1944,KOTO MARU,Cargo,3557,13.03333333,109.4333333,Sunk,"13-02N, 109-26E",32
257,7,19,1944,OI,Light Cruiser,5700,12.75,114.3333333,Sunk,"12-45N, 114-20E",32
258,7,26,1944,OTORIYAMA MARU,Tanker,5280,18.16666667,117.9333333,Sunk,"18-10N, 117-56E",32
259,9,18,1944,SAIGON MARU,Ex-Light Cruiser,5350,14.18333333,120.0333333,Sunk,"14-11N, 120-02E",34
260,9,27,1944,URAL MARU,Transport,6374,15.66666667,117.3,Sunk,"15-40N, 117-18E",34
261,10,4,1944,TAIBIN MARU,Cargo,6886,15.43333333,119.8166667,Sunk,"15-26N, 119-49E",35
262,12,4,1944,KISHINAMI,Destroyer,2100,13.2,116.6166667,Sunk,"13-12N, 116-37E",37
263,12,4,1944,IWANAMI,Desteoyer,2100,13.2,116.6166667,Sunk,"13-12N, 116-37E",37
264,12,4,1944,HAKKO MARU,Tanker,10022,13.2,116.6166667,Sunk,"13-12N, 116-37E",37
265,12,22,1944,OMUROSAN MARU,Tanker,9204,15.06666667,109.1,Sunk,"15-04N, 109-06E",37
266,12,22,1944,OTOWASAN MARU,Tanker,9204,15.06666667,109.1,Sunk,"15-04N, 109-06E",37
267,12,22,1944,ARITA MARU,Tanker,10238,15.06666667,109.1,Sunk,"15-04N, 109-06E",37
268,2,25,1945,Koho MARU,Cargo,850,20.06666667,111.3666667,Sunk,"20-04N, 111-22E",39
269,6,4,1944,HAKUSAN MARU,Transport,10380,22.91666667,136.7333333,Sunk,"22-55N, 136-44E",31
270,6,17,1944,NIPPONKAI MARU,Ex-Motor Torpedo Tender,2681,6.133333333,127.8666667,Sunk,"6-58N, 127-52E",31
271,2,16,1943,HYUGA MARU,Cargo,994,18.5,145.7833333,Sunk,"18-30N, 145-47E",15
272,4,12,1943,SAPPORO MARU No 12,Cargo,2865,41.4,141.5,Sunk,"41-24N, 141-30E",17
273,4,17,1943,AMAHO MARU,Cargo,2769,42.06666667,143.3666667,Sunk,"42-04N, 143-22E",17
274,4,24,1943,KASUGA MARU,Cargo,1377,41.71666667,141.35,Sunk,"41-43N, 141-21E",17
275,7,2,1943,CANTON MARU,Cargo,2820,25.11666667,119.3,Sunk,"25-07N, 119-18E",20
276,10,27,1943,NANMAN MARU,Cargo,6550,12.56666667,134.8,Sunk,"12-34N, 134-48E",23
277,12,16,1943,GINYO MMARU,Cargo,8613,22.45,120.1333333,Sunk,"22-27N, 120-08E",25
278,12,27,1943,KYUEI MARU,Tanker,10171,21.7,118.0833333,Sunk,"21-42N, 118-05E",25
279,3,12,1944,TAIJIN MARU,Cargo,1937,25.88333333,131.3166667,Sunk,"25-53N, 131-19E",28
280,3,16,1944,ANZAN MARU,Transport,5493,27.68333333,128.6833333,Sunk,"27-41N, 128-41E",28
281,4,1,1944,NINAMI MARU,Cargo,2398,25.93333333,131.3,Sunk,"25-56N, 131-18E",29
282,5,25,1944,TAITO MARU,Transport,4466,11.5,134.9166667,Sunk,"11-30N, 134-55E",30
283,5,25,1944,OSAKA MARU,Transport,3740,11.5,114.9166667,Sunk,"11-30N, 114-55E",30
284,6,10,1945,TAGA MARU,Cargo,2220,41.66666667,129.8666667,Sunk,"41-40N, 129-52E",43
285,6,11,1945,MEISEI MARU,Transport,1893,41.78333333,131.7333333,Sunk,"41-47N, 131-44E",43
286,7,17,1944,MINESWEEPER NO 25,Minesweeper,492,33.85,138.5833333,Sunk,"33-51N, 138-35E",32
287,10,31,1944,KAIYO NO 6,Miscellaneous Auxiliary,100,32.83333333,134.35,Sunk,"32-50N, 134-21E",35
288,4,14,1945,KAKO MARU,Cargo,872,-5.15,117.1,Sunk,"5-19S, 117-06E",41
289,3,13,1942,CHICHIBU MARU,Cargo,1520,33.88333333,139.4833333,Sunk,"33-53N, 139-29E",4
290,12,8,1942,HEINAN MARU,Cargo,661,0.866666667,118.9,Sunk,"00-52N, 118-54E",13
291,5,9,1943,ASO MARU,Cargo,703,9.15,122.8333333,Sunk,"9-09N, 122-50E",18
292,5,15,1943,MEIKAI MARU,Transport,3197,13.11666667,121.8166667,Sunk,"13-07N, 121-49E",18
293,5,15,1943,INDUS MARU,Transport,4361,13.11666667,121.8166667,Sunk,"13-07N, 121-49E",18
294,8,20,1943,SEIZAN MARU,Cargo,955,0.966666667,119.0166667,Sunk,"00-58N, 119-01E",21
295,1,20,1944,KOYU MARU,Cargo,5325,6,134.2833333,Sunk,"6-40N, 134-17E",26
296,1,23,1944,TAIAN MARU,Cargo,3670,5.083333333,134.75,Sunk,"5-45N, 134-45E",26
297,1,21,1943,KENKON MARU,Transport,4575,-6.033333333,155.85,Sunk,"6-12S, 155-51E",14
298,1,29,1943,NICHIUN MARU,Cargo,2723,-6.016666667,156.0666667,Sunk,"6-21S, 156-04E",14
299,2,15,1943,SURUGA MARU,Cargo,991,-6.116666667,156.0333333,Sunk,"6-27S, 156-02E",15
300,11,30,1943,COLUMBIA MARU,Transport,5618,1.1,147.3833333,Sunk,"1-56N, 147-23E",24
301,12,20,1943,TSUNESHIMA MARU,Cargo,2926,1,148.6,Sunk,"1-30N, 148-36E",25
302,2,26,1944,DAIGEN MARU NO 3,Transport,5256,-0.916666667,139.0333333,Sunk,"00-55S, 139-02E",27
303,3,12,1944,OKINOYAMA MARU NO 3,Cargo,871,-0.416666667,132.9166667,Sunk,"00-25S, 132-55E",28
304,2,14,1945,COAST DEF VESSEL NO 9,Frigate,800,34.8,125.9666667,Sunk,"34-48N, 125-58E",39
305,2,21,1945,TAIRIKU MARU,Cargo,2325,35.4,125.3833333,Sunk,"35-24N, 125-23E",39
306,3,1,1942,KAIJO MARU NO 2,Tanker,8636,4.033333333,151.3333333,Sunk,"4-52N, 151-20E",4
307,3,17,1942,ISHIKARI MARU,Cargo,3291,27.08333333,142.0833333,Sunk,"27-05N, 142-05E",4
308,1,2,1943,I 18,Submarine,2180,-8.15,157.15,Sunk,"8-49S, 157-09E",14
309,5,11,1943,YODOGAWA MARU,Cargo,6441,-0.783333333,149.0333333,Sunk,"00-47S, 149-02E",18
310,5,17,1943,ENGLAND MARU,Cargo,5830,-1,148.6666667,Sunk,"1-00S, 148-40E",18
311,10,14,1943,KOZUI MARU,Transport,7072,27.58333333,127.45,Sunk,"27-35N, 127-27E",23
312,10,22,1943,AWATA MARU,Ex-Light Cruiser,7397,26.8,124.9333333,Sunk,"26-48N, 124-56E",23
313,12,18,1943,GYOKUREI MARU,Cargo,5588,26.36666667,128.3333333,Sunk,"26-22N, 128-20E",25
314,12,19,1943,NUMAKAZE,Destroyer,1300,26.48333333,128.4333333,Sunk,"26-29N, 128-26E",25
315,12,21,1943,KONAN MARU,Cargo,2627,3.066666667,129.8833333,Sunk,"3-24N, 129-53E",25
316,12,21,1943,KASHIWA MARU,Ex-Net Tender,515,30.4,129.8833333,Sunk,"30-24N, 129-53E",25
317,2,19,1944,TAIKEI MARU,Cargo,4739,21.76666667,120.1,Sunk,"21-46N, 120-06E",27
318,2,19,1944,TOSHIN MARU,Cargo,1917,21.76666667,120.1,Sunk,"21-46N, 120-06E",27
319,2,24,1944,NAMPO MARU,Tanker,10033,24.33333333,122.4166667,Sunk,"24-20N, 122-25E",27
320,2,27,1944,CEYLON MARU,Cargo,4905,31.83333333,127.75,Sunk,"31-50N, 127-45E",27
321,4,13,1942,RYUJIN MARU,Cargo,6243,31.85,132.8333333,Sunk,"31-51N, 132-50E",5
322,11,10,1942,UNKNOWN MARU,Cargo,4000,7.033333333,150.7833333,Sunk,"7-12N, 150-47E",12
323,1,26,1943,USHIO MARU,Cargo,749,13.43333333,121.2666667,Sunk,"13-26N, 121-16E",14
324,4,9,1943,SHANGHAI MARU,Cargo,4103,13.18333333,121.75,Sunk,"13-11N, 121-45E",17
325,8,27,1943,MEIZAN MARU,Transport,5480,13.21666667,121.3833333,Sunk,"13-13N, 121-23E",21
326,5,4,1942,KINJOSAN MARU,Cargo,3262,8.066666667,150.9333333,Sunk,"8-44N, 150-56E",6
327,8,5,1942,BRASIL MARU,Transport,12752,9,150.6333333,Sunk,"9-50N, 150-38E",9
328,8,6,1942,PALAO MARU,Transport,4495,9.066666667,150.6333333,Sunk,"9-04N, 150-38E",9
329,10,3,1942,KINKAI MARU,Cargo,5852,38.76666667,142.0333333,Sunk,"38-46N, 142-02E",11
330,10,4,1942,SETSUYO MARU,Cargo,4147,39.8,142.1333333,Sunk,"39-48N, 142-08E",11
331,10,14,1942,TAKUSEI MARU,Cargo,3515,39.55,142.25,Sunk,"39-33N, 142-15E",11
332,10,18,1942,HAKONESAN MARU,Cargo,6673,38.76666667,142.05,Sunk,"38-46N, 142-03E",11
333,12,22,1942,PATROL BOAT NO 35,Old Destroyer,750,-5.083333333,156.0666667,Sunk,"5-05S, 156-04E",13
334,12,30,1942,UNKNOWN MARU,Cargo,4000,0.683333333,148.8666667,Sunk,"00-41N, 148-52E",13
335,12,30,1942,HITERU MARU,Cargo,5857,0.683333333,148.8666667,Sunk,"00-41N, 148-52E",13
336,1,16,1943,KINPOSAN MARU,Cargo,3261,-2.116666667,149.1666667,Sunk,"2-47S, 149-10E",14
337,12,31,1943,SHOHO MARU,Cargo,1936,5.133333333,160.2666667,Sunk,"5-18N, 160-16E",25
338,11,7,1944,KIRI MARU NO 8,Cargo,939,34.53333333,138.55,Sunk,"34-32N, 138-33E",36
339,11,7,1944,KOTAI MARU,Tanker,975,34.53333333,138.55,Sunk,"34-32N, 138-33E",36
340,11,10,1944,PATROL BOAT NO 46,Old Destroyer,820,34.5,135.5666667,Sunk,"34-30N, 135-34E",36
341,5,8,1942,TAIYO MARU,Transport,14457,34.66666667,127.9,Sunk,"34-40N, 127-54E",6
342,9,21,1942,TONE MARU,Cargo,4070,31.3,123.45,Sunk,"31-18N, 123-27E",10
343,10,1,1942,LISBON MARU,Transport,7053,29.95,122.9333333,Sunk,"29-57N, 122-56E",11
344,12,17,1942,BANDOENG MARU,Transport,4003,-4.066666667,154.2833333,Sunk,"4-54S, 154-17E",13
345,6,24,1944,KUMANOYAMA MARU,Cargo,2857,34.6,139.5333333,Sunk,"34-36N, 139-32E",31
346,7,5,1942,ARARE,Destroyer,1850,52,177.6666667,Sunk,"52-00N, 177-40E",8
347,8,25,1942,SENYO MARU,Ex-Gunboat,2904,22.38333333,120.1666667,Sunk,"22-23N, 120-10E",9
348,8,31,1942,EIFUKU MARU,Cargo,5866,25.71666667,122.6333333,Sunk,"25-43N, 122-38E",9
349,9,4,1942,KASHINO,Supply Ship,4000,25.71666667,122.6333333,Sunk,"25-43N, 122-38E",10
350,9,7,1942,TAIKA MARU,Cargo,2204,25.51666667,121.55,Sunk,"25-31N, 121-33E",10
351,1,16,1943,CHIFUKU MARU,Transport,5857,-4,151.9166667,Sunk,"4-00S, 151-55E",14
352,6,19,1943,MIYADONO MARU,Transport,5196,1.133333333,148.2333333,Sunk,"1-38N, 148-14E",19
353,6,29,1944,KATORI MARU,Cargo,1920,19.15,120.45,Sunk,"19-09N, 120-27E",31
354,9,12,1944,SHIKINAMI,Destroyer,1950,18.26666667,114.6666667,Sunk,"18-16N, 114-40E",34
355,9,12,1944,HIRADO,Frigate,860,17.9,114.8166667,Sunk,"17-54N, 114-49E",34
356,7,15,1942,SUBCHASER NO 25,Subchaser,300,52.03333333,177.7,Sunk,"52-02N, 177-42E",8
357,7,15,1942,SUBCHASER NO 27,Subchaser,300,52.03333333,177.7,Sunk,"52-02N, 177-42E",8
358,8,24,1942,SEIKAI MARU,Transport,3109,38.2,141.5,Sunk,"38-12N, 141-30E",9
359,9,2,1942,TEIKYU MARU,Cargo,2332,42.13333333,141.25,Sunk,"42-08N, 141-15E",10
360,9,4,1942,CHITA MARU,Cargo,2276,40.16666667,141.8833333,Sunk,"40-10N, 141-53E",10
361,9,4,1942,TENYU MARU,Cargo,3738,40.23333333,141.85,Sunk,"40-14N, 141-51E",10
362,9,4,1942,KAIMEI MARU,Cargo,5254,40.23333333,141.85,Sunk,"40-14N, 141-51E",10
363,10,21,1942,UNKNOWN MARU,Cargo,4000,27.05,122.7,Sunk,"27-03N, 122-42E",11
364,10,21,1942,MICHIHO MARU,Cargo,6363,27.05,122.7,Sunk,"27-03N, 122-42E",11
365,1,12,1943,PATROL BOAT NO 1,Old Destroyer,750,-2.016666667,149.7166667,Sunk,"2-51S, 149-43E",14
366,1,22,1943,UNKNOWN MARU,Cargo,4000,-3.083333333,152.1166667,Sunk,"3-55S, 152-07E",14
367,1,23,1943,HAKAZE,Destroyer,1300,-2.116666667,150.6333333,Sunk,"2-47S, 150-38E",14
368,6,13,1943,SUZUYA MARU,Cargo,901,-3,151.4,Sunk,"3-080S, 151-24E",19
369,10,8,1943,KASHU MARU,Cargo,5460,-0.416666667,146.3666667,Sunk,"00-25S, 146-22E",23
370,1,14,1944,KENYO MARU,Tanker,10022,5.033333333,141.45,Sunk,"5-22N, 141-27E",26
371,2,1,1944,UMIKAZE,Destroyer,1580,7,151.7166667,Sunk,"7-10N, 151-43E",27
372,7,16,1944,JINZAN MARU,Transport,5215,18.33333333,119.7,Sunk,"18-20N, 119-42E",32
373,7,16,1944,MANTAI MARU,Cargo,5863,18.33333333,119.7,Sunk,"18-20N, 119-42E",32
374,7,17,1944,HIYAMA MARU,Cargo,2838,18.28333333,119.8333333,Sunk,"18-17N, 119-50E",32
375,7,19,1944,TEIRYU MARU,Cargo,6550,20.11666667,118.4833333,Sunk,"20-07N, 118-29E",32
376,9,25,1944,MIYAKAWA MARU NO 2,Cargo,873,38.5,124.1,Sunk,"38-30N, 124-06E",34
377,4,26,1944,NOSHIRO MARU,Cargo,2333,28.61666667,141,Sunk,"28-37N, 141-00E",29
378,7,4,1944,TAMA MARU,Transport,3052,7.05,133.75,Sunk,"7-33N, 133-45E",32
379,9,15,1944,TRANSPORT NO 3,Landing Craft,1500,5.066666667,125.3833333,Sunk,"5-34N, 125-23E",34
380,11,22,1944,DOWA MARU,Cargo,1916,10.36666667,114.35,Sunk,"10-22N, 114-21E",36
381,2,7,1945,TAIGYO MARU,Cargo,6892,7.05,106.0833333,Sunk,"7-03N, 106-05E",39
382,2,20,1945,EIYO MARU,Tanker,8673,11.28333333,109,Sunk,"11-17N, 109-00E",39
383,1,27,1942,I 173,Submarine,1785,28.4,178.5833333,Sunk,"28-24N, 178-35E",2
384,3,26,1942,UNKNOWN MARU,Cargo,4000,32.51666667,127.1666667,Sunk,"32-31N, 127-10E",4
385,3,27,1942,UNKNOWN MARU,Transport,4000,33.88333333,127.55,Sunk,"33-53N, 127-33E",4
386,8,3,1942,NANIWA MARU,Cargo,4858,7.116666667,150.3,Sunk,"7-37N, 150-18E",9
387,10,21,1942,CHOKO MARU,Transport,6783,-3,150.5,Sunk,"3-30S, 150-30E",11
388,3,22,1943,MEIGEN MARU,Cargo,5434,-6.016666667,112.7833333,Sunk,"6-31S, 112-47E",16
389,3,29,1943,TOHOH MARU,Tanker,9997,0,118.3,Sunk,"00-00N, 118-18E",16
390,4,28,1943,KAMAKUR MARU,Transport,17526,10.3,121.7333333,Sunk,"10-18N, 121-44E",17
391,5,12,1943,SUMATRA MARU,Cargo,5862,12.71666667,124.1333333,Sunk,"12-43N, 124-08E",18
392,9,28,1943,TAIAN MARU,Transport,3158,15.36666667,145.6333333,Sunk,"15-22N, 145-38E",22
393,11,23,1943,NEKKA MARU,Transport,6784,28.81666667,122.1833333,Sunk,"28-49N, 122-11E",24
394,11,23,1943,WAKAYMIYA,Frigate,860,28.81666667,122.1833333,Sunk,"28-49N, 122-11E",24
395,5,30,1944,SHISEN MARU,Cargo,2201,24.5,122.5,Sunk,"24-30N, 122-30E",30
396,6,2,1944,AWAJI,Frigate,900,22.56666667,121.85,Sunk,"22-34N, 121-51E",31
397,8,7,1944,KUSAKAKI,Frigate,900,14.85,119.9833333,Sunk,"14-51N, 119-59E",33
398,8,10,1944,SHINEI MARU,Cargo,5135,16.28333333,119.7666667,Sunk,"16-17N, 119-46E",33
399,8,21,1944,UGA MARU,Transport,4433,13.38333333,120.3166667,Sunk,"13-23N, 120-19E",33
400,8,27,1944,NANSHIN MARU NO 27,Tanker,834,12.46666667,119.95,Sunk,"12-28N, 119-57E",33
401,10,31,1944,KOMEI MARU,Cargo,2857,15.28333333,119.8166667,Sunk,"15-17N, 119-49E",35
402,10,31,1944,PACIFIC MARU,Transport,5872,15.28333333,119.8166667,Sunk,"15-17N, 119-49E",35
403,6,15,1943,KOYO MARU,Cargo,6435,33.91666667,127.6333333,Sunk,"33-55N, 127-38E",19
404,6,19,1943,TOKIWA MARU,Cargo,6971,32.51666667,126.3166667,Sunk,"32-31N, 126-19E",19
405,12,4,1943,HIYOSI MARU,Transport,4046,29.75,145.9166667,Sunk,"29-45N, 145-55E",25
406,11,8,1944,SAGI,Motor Torpedo Boat,595,16.15,118.9333333,Sunk,"16-09N, 118-56E",36
407,11,17,1944,SHUNTEN MARU,Transport,5623,16.93333333,110.5,Sunk,"16-56N, 110-30E",36
408,11,17,1944,HIYODORI,Motor Torpedo Boat,595,16.93333333,110.5,Sunk,"16-56N, 110-30E",36
409,7,11,1943,TAIKO MARU,Cargo,1925,12.88333333,131.8166667,Sunk,"12-53N, 131-49E",20
410,10,8,1943,TAINAN MARU,Cargo,5655,18.4,119.15,Sunk,"18-24N, 119-09E",23
411,10,8,1943,DAINICHI MARU,Transport,5813,18.4,119.15,Sunk,"18-24N, 119-09E",23
412,12,24,1943,SEIZAN MARU NO 2,Cargo,1898,34.03333333,136.3166667,Sunk,"34-02N, 136-19E",25
413,12,24,1943,TOFUKU MARU,Cargo,5857,33.96666667,136.2666667,Sunk,"33-58N, 136-16E",25
414,5,6,1944,TENSHINZAN MARU,Cargo,6886,2.033333333,124.1666667,Sunk,"2-42N, 124-10E",30
415,5,6,1944,TAIJIMA MARU,Transport,6995,2.066666667,124.1666667,Sunk,"2-24N, 124-10E",30
416,5,6,1944,ADEN MARU,Transport,5824,2.033333333,124.1666667,Sunk,"2-42N, 124-10E",30
417,5,24,1944,TATEKAWA MARU,Tanker,10090,5.083333333,124.75,Sunk,"5-45N, 124-45E",30
418,11,3,1944,TAIMEI MARU,Cargo,6923,5.133333333,111.0833333,Sunk,"5-48N, 111-05E",36
419,8,21,1944,KINRYO MARU,Transport,4390,13.38333333,120.3166667,Sunk,"13-23N, 120-19E",33
420,8,21,1944,NORFOLK MARU,Transport,6756,13.38333333,120.3166667,Sunk,"13-23N, 120-19E",33
421,8,22,1944,SADO,Frigate,860,14.25,120.0833333,Sunk,"14-15N, 120-05E",33
422,8,23,1944,ASAKAZE,Destroyer,1270,16.1,119.7333333,Sunk,"16-06N, 119-44E",33
423,9,21,1944,KATSURIKI,Surveying Ship,1540,13.58333333,119.1,Sunk,"13-35N, 119-06E",34
424,11,9,1944,HISHI MARU NO 2,Tanker,856,12.45,120.0833333,Sunk,"12-27N, 120-05E",36
425,7,1,1945,COAST DEF VESSEL NO 72,Frigate,800,38.13333333,124.6333333,Sunk,"38-08N, 124-38E",44
426,7,1,1945,TAIUN MARU NO O1,Cargo,2220,38.13333333,124.6333333,Sunk,"38-08N, 124-38E",44
427,7,1,1945,KONRI MARU,Cargo,3106,38.13333333,124.6333333,Sunk,"38-08N, 124-38E",44
428,8,22,1942,UNKNOWN MARU,Transport,4000,26.11666667,121.4833333,Sunk,"26-07N, 121-29E",9
429,8,26,1942,TEISHUN MARU,Cargo,2251,27.08333333,121.3833333,Sunk,"27-05N, 121-23E",9
430,11,3,1942,TEKKAI MMARU,Cargo,1925,32.03333333,126.25,Sunk,"32-02N, 126-15E",12
431,11,11,1942,VENICE MARU,Transport,6571,35.6,123.7333333,Sunk,"35-36N, 123-44E",12
432,1,17,1943,UNKNOWN MARU,Cargo,4000,34.51666667,137.8,Sunk,"34-31N, 137-48E",14
433,4,3,1943,ARIMA MARU,Transport,7389,10.43333333,135,Sunk,"10-26N, 135-00E",17
434,4,8,1943,TOYO MARU,Cargo,1916,10.43333333,135,Sunk,"10-26N, 135-00E",17
435,7,21,1943,SAIPAN MARU,Transport,5533,16.3,134.15,Sunk,"16-18N, 134-09E",20
436,1,12,1944,NIGITSU MARU,Transport,9547,23.25,133.8166667,Sunk,"23-15N, 133-49E",26
437,2,1,1944,TACOMA MARU,Transport,5772,1.083333333,128.9666667,Sunk,"1-35N, 128-58E",27
438,2,1,1944,NKNKA MARU,Cargo,4065,1.083333333,128.9666667,Sunk,"1-35N, 128-58E",27
439,3,27,1944,YAMAMIZU MARU,Tanker,5174,-3.033333333,109.6666667,Sunk,"3-52S, 109-40E",28
440,6,8,1944,KAZEGUMO,Destroyer,1900,6.05,125.95,Sunk,"6-03N, 125-57E",31
441,6,17,1944,KINSHU MARU,Cargo,5591,6.116666667,126.2833333,Sunk,"6-17N, 126-17E",31
442,6,20,1944,HIBI MARU,Transport,5874,5.083333333,125.25,Sunk,"5-35N, 125-15E",31
443,12,12,1942,GYOKUZAN MARU,Cargo,1970,40.31666667,142.45,Sunk,"40-19N, 142-27E",13
444,12,16,1942,SHINGO MARU,Cargo,4740,41.16666667,141.5333333,Sunk,"41-10N, 141-32E",13
445,12,16,1942,GENZAN MARU,Transport,5708,41.16666667,141.5333333,Sunk,"41-10N, 141-32E",13
446,2,20,1943,SHINKOKU MARU,Transport,3991,15.15,159.5,Sunk,"15-09N, 159-30E",15
447,3,3,1943,NICHIYU MARU,Transport,6817,10.36666667,145.35,Sunk,"10-22N, 145-21E",16
448,8,30,1943,TAIBUN MARU,Transport,6581,41.88333333,141.1666667,Sunk,"41-53N, 141-10E",21
449,9,6,1943,SHOGEN MARU,Cargo,3362,42.21666667,142.2666667,Sunk,"42-13N, 142-16E",22
450,11,2,1943,EHIME MARU,Cargo,4653,28.3,134.8,Sunk,"28-18N, 134-48E",24
451,4,12,1944,TAICHU MARU,Transport,3213,28.11666667,129.0166667,Sunk,"28-07N, 129-01E",29
452,4,27,1944,GENBU MARU,Transport,1872,27.33333333,128.25,Sunk,"27-20N, 128-15E",29
453,4,27,1944,KAMOME,Coastal Minelayer,450,27.61666667,128.1833333,Sunk,"27-37N, 128-11E",29
454,10,25,1944,AKITSUKI,Destroyer,1900,20.48333333,126.6,Sunk,"20-29N, 126-36E",35
455,10,1,1944,KOKUSEI MARU,Cargo,5396,6,116.1833333,Sunk,"6-30N, 1116-11E",35
456,10,1,1944,HIGAME MARU,Cargo,5320,6,116.1833333,Sunk,"6-30N, 116-11E",35
457,10,1,1944,HIYORI MARU,Cargo,5320,6,116.1833333,Sunk,"6-30N, 116-11E",35
458,10,20,1944,UGO MARU,Transport,3684,4.033333333,113.4,Sunk,"4-52N, 113-24E",35
459,10,20,1944,OYO MARU,Transport,5458,4.016666667,113.3666667,Sunk,"4-41N, 113-22E",35
460,2,23,1945,YAKU,Frigate,900,12.65,109.4833333,Sunk,"12-39N, 109-29E",39
461,3,29,1945,COAST DEF VESSEL NO 884,Frigate,1000,14.5,109.2666667,Sunk,"14-30N, 109-16E",40
462,5,6,1945,KINREI MARU,Tanker,850,8.083333333,102.25,Sunk,"8-15N, 102-15E",42
463,5,15,1945,TOTTORI MARU,Transport,5973,9.016666667,102.4166667,Sunk,"9-21N, 102-25E",42
464,7,10,1945,SAKURA MARU,Cargo,900,9.133333333,101.5,Sunk,"9-38N, 101-30E",44
465,7,10,1945,NANMEI MARU NO 5,Tanker,834,9.133333333,101.5,Sunk,"9-38N, 101-30E",44
466,6,23,1943,SAGARA MARU,Ex-Seaplane Tender,7189,33.75,138.1666667,Sunk,"33-45N, 138-10E",19
467,9,9,1943,KOYO MARU,Cargo,3010,35.33333333,140.6666667,Sunk,"35-20N, 140-40E",22
468,9,11,1943,YOKO MARU,Cargo,1050,33.83333333,139.55,Sunk,"33-50N, 139-33E",22
469,9,19,1943,KACHISAN MARU,Cargo,814,33.5,135.6666667,Sunk,"33-30N, 135-40E",22
470,9,23,1943,KOWA MARU,Cargo,4520,34.25,137,Sunk,"34-15N, 137-00E",22
471,9,23,1943,DAISHIN MARU,Tanker,5878,34.25,137,Sunk,"34-15N, 137-00E",22
472,11,19,1943,UDO MARU,Cargo,3936,22.45,147.25,Sunk,"22-27N, 147-15E",24
473,11,19,1943,HOKKO MARU,Cargo,5385,22.45,147.25,Sunk,"22-27N, 147-15E",24
474,11,20,1943,NIKKO MARU,Cargo,5949,22.78333333,147.3333333,Sunk,"22-47N, 147-20E",24
475,4,13,1944,IKAZUCHI,Destroyer,19950,10.21666667,143.85,Sunk,"10-13N, 143-51E",29
476,4,17,1944,MATSUE MARU,Cargo,7061,9.033333333,142.3,Sunk,"9-22N, 142-18E",29
477,6,6,1944,MINATSUKI,Destroyer,1500,4.083333333,119.5,Sunk,"4-05N, 119-30E",31
478,6,7,1944,HAYANAMI,Destroyer,2100,4.05,120.05,Sunk,"4-43N, 120-03E",31
479,6,9,1944,TAMIKAZE,Destroyer,1900,5.033333333,120.6833333,Sunk,"5-42N, 120-41E",31
480,8,22,1944,MATSUWA,Frigate,860,14.25,120.0833333,Sunk,"14-15N, 120-05E",33
481,8,22,1944,HIRURI,Frigate,900,14.25,120.0833333,Sunk,"14-15N, 120-05E",33
482,8,18,1944,NATORI,Light Cruiser,5700,12.48333333,128.8166667,Sunk,"12-29N, 128-49E",33
483,11,8,1944,MANEI MARU,Tanker,5226,13.88333333,119.4333333,Sunk,"13-53N, 119-26E",36
484,11,25,1944,COAST DEF VESSEL NO 38,Frigate,800,14.36666667,119.95,Sunk,"14-22N, 119-57E",36
485,2,2,1945,NINSHIN MARU MARU NO 19,Tanker,834,5,103.2833333,Sunk,"5-40N, 103-17E",39
486,4,6,1945,ARACSAN MARU,Cargo,6886,9.116666667,102.8,Sunk,"9-37N, 102-48E",41
487,6,23,1945,SHUTTLE BOAT NO 833,Miscellaneous Auxiliary,200,-5,114.3,Sunk,"5-50S, 114-18E",43
488,6,23,1945,SUBMARINE CHASE NO 42,Submarine Chaser,100,-5,114.3,Sunk,"5-50S, 114-18E",43
489,6,23,1945,SUBMARINE CHASER NO 113,Submarine Chaser,200,-5,114.3,Sunk,"5-10S, 114-18E",43
490,7,23,1945,SUBMARINE CHASER NO 117,Submarine Chaser,200,-8,115.4833333,Sunk,"8-10S, 115-29E",44
